OutThere,z_map,F435W_SEG,F435W_SEG_e,F606W_SEG,F606W_SEG_e,F775W_SEG,F775W_SEG_e,F814W_SEG,F814W_SEG_e,F850LP_SEG,F850LP_SEG_e,F090W_SEG,F090W_SEG_e,F105W_SEG,F105W_SEG_e,F115W_SEG,F115W_SEG_e,F125W_SEG,F125W_SEG_e,F140W_SEG,F140W_SEG_e,F150W_SEG,F150W_SEG_e,F160W_SEG,F160W_SEG_e,F182M_SEG,F182M_SEG_e,F200W_SEG,F200W_SEG_e,F210M_SEG,F210M_SEG_e,F277W_SEG,F277W_SEG_e,F335M_SEG,F335M_SEG_e,F356W_SEG,F356W_SEG_e,F410M_SEG,F410M_SEG_e,F444W_SEG,F444W_SEG_e
1548,2.1802449395187766,3.2013202e-07,3.5520788e-08,4.440568e-07,5.7348803e-08,3.6895352e-07,9.0736314e-08,5.263789e-07,5.400459e-08,8.2025207e-07,1.3490578e-07,6.4441116e-07,2.7786434e-08,6.400705e-07,7.096686e-08,8.2548115e-07,2.3219146e-08,1.0206713e-06,5.6763408e-08,1.5414936e-06,8.969882e-08,2.052635e-06,2.2608052e-08,2.072268e-06,7.271999e-08,0.0,,2.51368e-06,2.113076e-08,0.0,,3.1074255e-06,1.3289328e-08,3.559037e-06,1.9999108e-08,3.5835246e-06,1.3323043e-08,3.6844945e-06,2.0233614e-08,3.8079204e-06,1.6341144e-08
1674,1.1365229542338453,7.7903144e-07,7.210463e-08,9.1041574e-07,4.089335e-08,1.1116031e-06,7.9911345e-08,1.1218203e-06,4.4347562e-08,1.4779595e-06,8.109526e-08,1.3336107e-06,1.6354843e-08,1.514158e-06,5.5526538e-08,1.6534193e-06,1.2716496e-08,1.3426779e-06,6.375712e-08,0.0,,1.866876e-06,1.3031154e-08,1.7502404e-06,9.147695e-08,0.0,,1.7274286e-06,1.2156425e-08,0.0,,1.8327906e-06,1.00571e-08,1.967147e-06,1.434556e-08,1.9763033e-06,9.362084e-09,2.012261e-06,1.5573187e-08,1.7817306e-06,1.2375897e-08
1885,1.7048263395068768,4.2001707e-07,2.0227287e-08,4.627476e-07,3.50578e-08,3.7669935e-07,4.894126e-08,3.791682e-07,3.461139e-08,6.116386e-07,6.3481714e-08,4.732839e-07,2.22564e-08,6.3494616e-07,4.0599247e-08,7.3071396e-07,1.6630898e-08,7.923347e-07,2.509933e-08,7.030003e-07,5.5875706e-08,8.7411e-07,1.7554191e-08,7.000644e-07,4.3759336e-08,0.0,,1.0057903e-06,1.6228782e-08,0.0,,9.827648e-07,1.0902609e-08,9.979213e-07,2.1670768e-08,9.812254e-07,1.088975e-08,9.695315e-07,2.3080498e-08,1.0378748e-06,1.3632339e-08
2556,2.0264926186951184,4.8357987e-07,2.5241667e-08,7.466225e-07,3.8740584e-08,8.9252933e-07,6.968209e-08,9.090339e-07,3.2476233e-08,1.1553876e-06,8.39811e-08,1.0406254e-06,2.9276721e-08,1.2977093e-06,,1.5857372e-06,2.1969177e-08,1.6010986e-06,4.2113324e-08,1.9828587e-06,6.678466e-08,2.3533657e-06,2.3102078e-08,2.2794413e-06,5.133279e-08,0.0,,2.515932e-06,2.201302e-08,0.0,,2.541263e-06,1.4128077e-08,2.831375e-06,2.4181688e-08,2.8898996e-06,1.3822495e-08,2.9612452e-06,2.9414306e-08,3.0765104e-06,1.739089e-08
3022,2.002642659290475,6.339808e-07,5.0924765e-08,7.2391975e-07,6.850973e-08,9.864292e-07,1.7750762e-07,8.9613553e-07,5.483004e-08,1.322955e-06,1.4260073e-07,8.793806e-07,2.280437e-08,1.2130456e-06,8.42555e-08,1.7899655e-06,2.0892672e-08,1.967512e-06,6.1406844e-08,2.2029496e-06,1.1114996e-07,2.638693e-06,2.2092562e-08,2.6032296e-06,7.431644e-08,0.0,,4.1053245e-06,1.9788281e-08,0.0,,5.2913715e-06,1.5902689e-08,6.6059556e-06,2.2990069e-08,7.1915747e-06,1.3935578e-08,8.200065e-06,2.0905107e-08,8.9106325e-06,1.7959152e-08
3029,2.0060108226196687,3.0468567e-07,2.4512449e-08,4.2055916e-07,3.4441154e-08,4.923363e-07,7.378706e-08,4.7220686e-07,3.1036887e-08,6.0478715e-07,7.103368e-08,5.3548297e-07,1.492928e-08,5.062731e-07,7.7663834e-08,8.255978e-07,1.259881e-08,7.813384e-07,3.1347128e-08,8.702988e-07,6.6656206e-08,1.1616793e-06,1.3714133e-08,9.955769e-07,5.177789e-08,0.0,,1.2320703e-06,1.2589695e-08,0.0,,1.2825177e-06,1.0159086e-08,1.3553513e-06,1.3767128e-08,1.3806032e-06,8.909133e-09,1.4873935e-06,1.3490254e-08,1.4910374e-06,1.1445323e-08
3393,2.003131841929187,2.1958805e-07,4.1413593e-08,3.4893694e-07,7.1317785e-08,4.864463e-07,1.1611973e-07,4.1588558e-07,5.282207e-08,7.91941e-07,1.2509018e-07,5.00512e-07,2.2921892e-08,7.9920864e-07,2.0281026e-07,1.0361335e-06,2.0923192e-08,1.1414181e-06,6.304936e-08,1.43661e-06,1.1399107e-07,1.8207612e-06,2.2009532e-08,1.6763405e-06,7.85199e-08,0.0,,2.9623773e-06,2.0740599e-08,0.0,,4.665185e-06,1.6772399e-08,5.6837557e-06,2.2031523e-08,6.2864733e-06,1.4899097e-08,7.939592e-06,2.152664e-08,8.915142e-06,1.8378238e-08
3796,2.19870085327431,1.0768614e-06,5.0771074e-08,1.4381261e-06,7.5772796e-08,1.4974211e-06,9.400784e-08,1.5340657e-06,4.5444413e-08,1.8683378e-06,8.664434e-08,1.7229007e-06,3.1485637e-08,1.7186046e-06,9.250682e-08,2.3592756e-06,2.2161634e-08,2.536217e-06,5.7814063e-08,2.919064e-06,1.4197897e-07,3.7735301e-06,2.3260547e-08,3.5002874e-06,7.158091e-08,0.0,,4.172444e-06,2.3323414e-08,0.0,,4.1595554e-06,1.9300165e-08,4.7401195e-06,3.887453e-08,4.561899e-06,1.9096442e-08,4.878801e-06,4.1353e-08,4.8549455e-06,2.1720876e-08
3748,2.063650193961841,3.8753495e-07,2.6512094e-08,4.2857081e-07,2.9863426e-08,4.6869997e-07,6.2257556e-08,4.505042e-07,2.2355124e-08,5.5000834e-07,7.085621e-08,5.038853e-07,1.5926133e-08,5.0004456e-07,3.5945803e-08,7.909242e-07,1.199638e-08,7.943679e-07,2.4594733e-08,9.0565794e-07,5.484969e-08,1.110089e-06,1.3011251e-08,1.0519169e-06,3.2530405e-08,1.2924445e-06,,1.1533424e-06,1.25860815e-08,0.0,,1.2794325e-06,9.658875e-09,1.2771277e-06,1.3509873e-08,1.3503337e-06,9.308146e-09,1.442554e-06,1.2418144e-08,1.4598946e-06,8.474081e-09
3985,1.8276990317055775,6.98219e-07,7.6202625e-08,6.911552e-07,8.048931e-08,9.620373e-07,1.3751563e-07,9.671865e-07,9.510321e-08,1.6941226e-06,1.2546627e-07,1.167877e-06,4.1566466e-08,1.8273341e-06,9.94507e-08,2.678343e-06,3.034978e-08,2.8453712e-06,1.0316867e-07,3.2276598e-06,1.330206e-07,3.886998e-06,3.1342683e-08,3.7025482e-06,1.0996904e-07,0.0,,5.450423e-06,3.0339976e-08,0.0,,7.0357514e-06,2.6038133e-08,8.206692e-06,4.595197e-08,8.459611e-06,2.7688058e-08,8.921711e-06,5.454922e-08,9.6665135e-06,2.9326392e-08
4101,1.7456453308757733,2.407917e-07,9.874167e-09,2.455821e-07,1.7557742e-08,2.2050999e-07,2.5994938e-08,2.0900912e-07,1.3604735e-08,2.9340015e-07,3.062358e-08,2.0746278e-07,7.150889e-09,2.772076e-07,2.0168558e-08,3.25679e-07,5.8216094e-09,3.5429068e-07,1.6934491e-08,2.9711487e-07,3.0745667e-08,3.748102e-07,5.952486e-09,2.5425692e-07,1.820504e-08,0.0,,3.7153652e-07,5.5744467e-09,0.0,,3.8252574e-07,5.5991904e-09,3.7607208e-07,7.869622e-09,3.447566e-07,4.982032e-09,3.3671955e-07,7.594667e-09,3.4098494e-07,4.9621534e-09
5187,2.2712614768747197,4.3470632e-07,4.146349e-08,5.63849e-07,4.7081798e-08,6.619028e-07,7.200562e-08,5.8624346e-07,3.2705934e-08,8.5763463e-07,5.8056724e-08,5.7695047e-07,1.5910993e-08,6.222289e-07,4.265387e-08,8.347958e-07,1.1828111e-08,8.183014e-07,4.527624e-08,8.5403803e-07,1.3664709e-07,1.2932279e-06,1.2160777e-08,1.1581817e-06,5.9801295e-08,0.0,,1.4301071e-06,1.1688604e-08,0.0,,1.560813e-06,9.6567865e-09,1.6958443e-06,1.3942513e-08,1.7941835e-06,8.764041e-09,2.0215946e-06,1.3679206e-08,2.0160462e-06,1.1315691e-08
5146,2.2725652763946966,4.4759207e-07,4.8979764e-08,6.398009e-07,5.1524296e-08,7.8257193e-07,1.0075515e-07,7.64917e-07,4.0601844e-08,1.0925975e-06,6.827054e-08,7.4590355e-07,1.6397983e-08,7.5462464e-07,5.4861687e-08,1.0933043e-06,1.4560875e-08,1.2009974e-06,5.793639e-08,1.440344e-06,1.3854667e-07,1.9233014e-06,1.5886535e-08,1.8543643e-06,6.9368255e-08,0.0,,2.5367096e-06,1.4008246e-08,0.0,,2.8913055e-06,1.1733588e-08,3.4300494e-06,1.6801794e-08,3.5212147e-06,1.1236161e-08,4.0348586e-06,1.6022078e-08,4.0794175e-06,1.4259498e-08
5093,2.2848492076879823,1.9005836e-07,3.5358838e-08,2.5486415e-07,3.1632162e-08,2.4137177e-07,5.7922872e-08,2.7426373e-07,2.546315e-08,4.2650882e-07,4.222027e-08,2.9508698e-07,1.1949642e-08,2.5820538e-07,3.4476695e-08,4.127457e-07,9.150006e-09,4.0419388e-07,3.1633e-08,5.5288126e-07,9.728342e-08,7.4021426e-07,9.900449e-09,6.9452216e-07,4.0650693e-08,0.0,,7.5769555e-07,9.094512e-09,0.0,,7.4301323e-07,1.0175942e-08,8.0977276e-07,1.8173614e-08,8.1448167e-07,1.0193952e-08,8.456244e-07,2.2465336e-08,8.3521684e-07,1.226487e-08
6007,2.262807497694448,5.233413e-07,3.830174e-08,6.2785284e-07,4.127321e-08,6.508579e-07,6.622534e-08,6.0158584e-07,3.347159e-08,9.1180374e-07,6.541379e-08,7.3856285e-07,2.0197236e-08,6.954283e-07,5.1548746e-08,1.0200237e-06,1.6396905e-08,1.0367767e-06,4.4521265e-08,1.1195153e-06,1.3467675e-07,1.6059181e-06,1.847492e-08,1.4922936e-06,6.1293626e-08,0.0,,1.7428429e-06,1.6334013e-08,0.0,,1.8772802e-06,1.32359785e-08,1.893998e-06,1.8528821e-08,1.9423537e-06,1.3692674e-08,2.0688956e-06,1.8381126e-08,2.1212622e-06,1.6994894e-08
6698,2.635382322968915,4.4032882e-07,2.857249e-08,7.0484776e-07,2.2663627e-08,7.48097e-07,4.004358e-08,7.710725e-07,2.358459e-08,8.139412e-07,4.4114554e-08,7.3496847e-07,1.2163489e-08,6.8687416e-07,3.2797615e-08,7.9215374e-07,9.5293045e-09,7.81737e-07,3.1601978e-08,8.820707e-07,7.9499486e-08,1.0291603e-06,1.096127e-08,8.5073003e-07,3.9774758e-08,1.8357146e-06,3.797783e-08,1.3757767e-06,9.857218e-09,8.843794e-07,5.0312106e-08,9.784333e-07,8.003336e-09,1.0934268e-06,1.2562455e-08,1.0933784e-06,7.296567e-09,1.1717157e-06,1.1708577e-08,1.1414121e-06,8.646011e-09
8225,2.259717304941192,9.732024e-07,4.3663718e-08,1.2299635e-06,6.1650425e-08,1.250223e-06,7.608009e-08,1.3402938e-06,4.002257e-08,1.5700981e-06,7.256593e-08,1.3106358e-06,1.5235239e-08,1.3856712e-06,5.2706664e-08,1.8311614e-06,1.381073e-08,1.955588e-06,5.958609e-08,2.262732e-06,1.5928843e-07,3.0091676e-06,1.5245014e-08,2.8738993e-06,8.38944e-08,2.9357188e-06,7.028839e-08,3.1561742e-06,1.3774064e-08,4.1983894e-06,1.3181051e-07,3.2615346e-06,1.2586408e-08,3.3644478e-06,1.7198497e-08,3.4897228e-06,1.0825993e-08,3.774414e-06,1.6936319e-08,3.8175353e-06,1.3943627e-08
8172,1.8009002254859303,3.0084448e-07,2.2551887e-08,3.269631e-07,2.6402015e-08,3.069627e-07,4.0502915e-08,4.2194213e-07,2.0305473e-08,4.3404248e-07,3.5945963e-08,3.448095e-07,9.15331e-09,4.4242694e-07,2.8038938e-08,6.287756e-07,8.428575e-09,6.1734045e-07,3.1768288e-08,6.275147e-07,6.779442e-08,7.565642e-07,9.091475e-09,6.9075554e-07,4.267994e-08,8.971851e-07,4.0504727e-08,8.249313e-07,7.9840285e-09,8.569491e-07,7.183098e-08,8.8453623e-07,6.7017707e-09,8.135828e-07,1.03901e-08,8.8170447e-07,6.079674e-09,8.831437e-07,1.0475197e-08,9.4237873e-07,7.720309e-09
8683,3.13023665054529,2.9949487e-07,4.564101e-08,5.439968e-07,4.712299e-08,6.762433e-07,6.7977226e-08,7.097425e-07,3.383297e-08,8.35249e-07,5.6525934e-08,7.055928e-07,1.3872555e-08,6.7401106e-07,4.5789303e-08,8.0427054e-07,1.2968682e-08,7.27905e-07,4.31051e-08,7.3284826e-07,1.1617404e-07,1.1119065e-06,1.4044784e-08,1.0263814e-06,5.374301e-08,1.3093197e-06,4.1231033e-08,1.5356896e-06,1.2222122e-08,1.9899587e-06,5.6861094e-08,1.6330864e-06,1.0893921e-08,1.3012532e-06,1.5569208e-08,1.395266e-06,9.419144e-09,1.5611342e-06,1.4419662e-08,1.625611e-06,1.1603438e-08
10086,2.71194934684589,2.2182982e-07,3.2231764e-08,3.7308396e-07,2.93197e-08,3.6808166e-07,5.4998697e-08,4.0114145e-07,2.8878697e-08,5.583113e-07,5.677225e-08,4.5497617e-07,1.5670896e-08,4.1168582e-07,3.5220044e-08,5.682041e-07,1.0793766e-08,5.69128e-07,3.835729e-08,7.4211846e-07,1.1825279e-07,9.130543e-07,1.4091793e-08,7.5819037e-07,4.9003336e-08,1.7008907e-06,5.7439046e-08,1.3617268e-06,1.0139725e-08,1.0976337e-06,9.1096695e-08,1.4642017e-06,1.1108961e-08,1.405133e-06,1.5595743e-08,1.4807391e-06,8.96457e-09,1.7206054e-06,1.4687692e-08,1.7051227e-06,1.0722299e-08
12191,1.9264402414231103,6.156764e-07,1.79169e-08,8.7623874e-07,2.6891552e-08,1.0330897e-06,3.4535276e-08,1.0637019e-06,1.998426e-08,1.2819847e-06,3.7328235e-08,0.0,,1.4918858e-06,3.512087e-08,0.0,,1.9732286e-06,2.4761023e-08,2.3156538e-06,9.2856126e-08,0.0,,2.4757044e-06,3.455362e-08,3.1992217e-06,2.4541167e-08,0.0,,2.958813e-06,2.9664202e-08,0.0,,0.0,,0.0,,0.0,,3.7798752e-06,3.0984804e-08
13857,1.8666420481028192,6.456173e-07,1.3780505e-08,7.0341434e-07,2.3903326e-08,6.928423e-07,3.311056e-08,7.130785e-07,1.49062e-08,7.751928e-07,2.768496e-08,0.0,,9.264059e-07,2.2585018e-08,0.0,,1.1084827e-06,1.7803941e-08,1.2152756e-06,5.5423232e-08,0.0,,1.2290908e-06,2.3876572e-08,1.6443324e-06,2.2335117e-08,0.0,,1.391217e-06,3.0674418e-08,0.0,,0.0,,0.0,,0.0,,1.6958597e-06,2.5600642e-08
17070,2.644453766709909,2.8783532e-07,8.515597e-09,4.9784626e-07,1.428381e-08,4.9316424e-07,1.4677218e-08,4.902312e-07,9.9120765e-09,4.9523175e-07,2.0069017e-08,0.0,,4.3745786e-07,1.0931301e-08,0.0,,4.950125e-07,1.0553303e-08,5.908416e-07,3.2676123e-08,0.0,,5.892798e-07,1.4196831e-08,1.2405725e-06,1.1450157e-08,0.0,,5.838308e-07,1.4970118e-08,0.0,,0.0,,0.0,,0.0,,7.0669347e-07,1.3450155e-08
13311,1.7834771500882642,3.0259298e-07,1.1457971e-08,3.3694988e-07,1.4594993e-08,3.3968956e-07,1.6435477e-08,3.2588528e-07,8.628616e-09,3.703736e-07,1.6937037e-08,0.0,,3.7004855e-07,1.33490206e-08,0.0,,5.827247e-07,1.173164e-08,4.785637e-07,4.0556138e-08,0.0,,3.7789627e-07,1.5336248e-08,6.990894e-07,1.3198628e-08,0.0,,4.3895008e-07,1.6594093e-08,0.0,,0.0,,0.0,,0.0,,4.3768227e-07,1.815182e-08
14340,1.8884502312857965,1.878455e-07,4.8207426e-08,2.087615e-07,3.8717797e-08,2.655713e-07,5.374439e-08,2.5502015e-07,2.5217782e-08,5.15177e-07,6.165739e-08,0.0,,5.7867595e-07,3.9593406e-08,0.0,,9.4688613e-07,3.3459564e-08,1.2160687e-06,1.0267988e-07,0.0,,1.4555503e-06,5.0287596e-08,2.8601103e-06,3.4632343e-08,0.0,,2.8730935e-06,4.4492136e-08,0.0,,0.0,,0.0,,0.0,,9.874176e-06,5.1212144e-08
